"""Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2018""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Renda (R$);Público ;;;;
2016;B1600416100000;"""Mãe só há uma""";Anna Muylaert;Ficção;"""África Filmes""";SP;"""Dezenove Som e Imagens/Canal Brasil""";SP/RJ;Vitrine Filmes;51;"""434613.08""";33,461;;;;
2016;B1600442200000;"""Magal e os Formigas""";Michael Ruman/Newton Cannito;Ficção;"""Moonshot Pictures""";SP;"""Globo Filmes/Xanadu""";RJ/RJ;Europa;17;"""11512.14""";849;;;;
2016;B1600294500000;"""Mais Forte que o Mundo - A História de José Aldo""";Afonso Poyart;Ficção;"""Black Maria/Paris Entretenimento""";SP;"""Globo Filmes/O2 Filmes""";RJ/SP;Downtown/Paris;403;"""7793731.83""";565,916;;;;
2016;B1402855900000;"""Maresia""";Marcos Guttmann;Ficção;"""Solar Filmes""";RJ;"""Passaro Films/Canal Brasil/Guiza Produções Audiovisuais""";RJ/RJ/RJ;E,H, Produções;8;"""10153.18""";891;;;;
2016;B1600624200000;"""Marginal""";Alex Miranda/Pedro Caldas;Documentário;"""Trator Filmes""";SP;"""Globo Filmes""";RJ;Trator Filmes;2;"""1520.34""";114;;;;
2016;B1600314300000;"""Marias""";Joana Mariani;Documentário;"""Primo Filmes""";SP;""" -"""; -;Vitrine Filmes;17;"""22312.56""";1,708;;;;
2016;B1500651700000;"""Mate-me por favor""";Anita Rocha da Silveira;Ficção;"""Bananeira Filmes""";RJ;"""Imovision """;SP;Imovision;46;"""116368.43""";9,873;;;;
2016;B1600280000000;"""Menino 23 - Infâncias Perdidas no Brasil""";Belisario Franca;Documentário;"""Giros""";RJ;"""Globo Filmes/Canal Brasil""";RJ/RJ;Elo Company;12;"""94626.8""";7,102;;;;
2016;B1600033400000;"""Meu Amigo Hindu""";Hector Babenco;Ficção;"""HB Filmes""";SP;"""Globo Filmes/Maiomidia Comunicação""";RJ/RJ;Europa;44;"""377955.3""";24,044;;;;
2016;B1600200900000;"""Meu Nome é Jacque""";Angela Zoé;Documentário;"""Documenta Filmes""";RJ;"""Globo Filmes""";RJ;Documenta Produções;1;"""4627.77""";515;;;;
2016;B1600382500000;"""Miller & Fried - As Origens do País do Futebol""";Luiz Ferraz;Documentário;"""Olé Produções""";SP;"""Globo Filmes""";RJ;Olé Produções;2;"""3155.83""";240;;;;
2016;B1600716500000;"""Minha mãe é uma peça 2""";César Rodrigues;Ficção;"""DiamondBack""";RJ;"""Migdal Filmes/Downtown Filmes/Globo Filmes/Paris Filmes/Xanadu""";RJ/RJ/RJ/SP/RJ;Downtown/Paris;1,125;"""124681177.82""";9,234,363;;;;
2016;B1600716200000;"""Muleque Té Doido 2: A Lenda de Dom Sebastião""";Erlanes Duarte;Ficção;"""Rafaela Gonçalves""";MA;""" -"""; -;Rafaela Gonçalves;17;"""893822.57""";69,753;;;;
2016;B1500661200000;"""Mundo Cão""";Marcos Jorge;Ficção;"""Zencrane Filmes""";SP;"""Migdal Filmes/Globo Filmes/Lereby""";RJ/RJ/RJ;Downtown/Paris;91;"""287574.9""";19,67;;;;
2016;B1402347100000;"""Mundo Deserto de Almas Negras""";Ruy Veridiano;Ficção;"""Heavybunker""";SP;""" -"""; -;Heavy Bunker;4;"""8447.55""";533;;;;
2016;B1600656600000;"""Nascida de Novo""";Mary Grace Hughes;Ficção;"""Mary Grace Hughes""";SP;"""Fabio da Silva Leme/Bless Filmes/Starcine Audiovideo Produções"""; -/MG/MG;Maria da Graça Hughes;5;"""40147""";3,049;;;;
2016;B1500257400000;"""Nervos de Aço""";Maurice Capovilla;Ficção;"""Saturna Produções""";RJ;"""Canal Brasil/Atama Filmes""";RJ/RS;Livres Distribuidora;1;"""2042.07""";127;;;;
2016;B1402652900000;"""Nise - O Coração da Loucura""";Roberto Berliner;Ficção;"""TV Zero""";RJ;"""TV Zero""";RJ;Imagem;80;"""2227214.34""";154,224;;;;
2016;B1600109200000;"""No Vermelho""";Marcelo Reis;Documentário;"""Blest - Bagulium Loquo Est""";MG;"""Postura Digital""";MG;Blest;1;"""2160""";238;;;;
2016;B1500899000000;"""Nós duas descendo a escada""";Fabiano de Souza;Ficção;"""Rainer Cine""";RS;""" -"""; -;Lança Filmes;6;"""18085.44""";1,438;;;;
2016;B1600047500000;"""Nos Passos do Mestre""";André Marouço;Documentário;"""Mundo Maior Filmes""";SP;""" -"""; -;Vitrine Filmes;19;"""350408.88""";26,655;;;;
2016;B1600585600000;"""O Amor de Catarina""";Gil Baroni;Ficção;"""Beija Flor Filmes""";PR;""" -"""; -;Europa;69;"""54173.47""";4,457;;;;
2016;B1600690400000;"""O amor no divã""";Alexandre Reinecke;Ficção;"""Tortuga Studios""";SP;""" -"""; -;Vitrine Filmes;42;"""63300.48""";4,607;;;;
2016;B1402130700000;"""O Ardor""";Pablo Fendrik;Ficção;"""Bananeira Filmes""";RJ;""" -"""; -;Imagem;3;"""3710.42""";234;;;;
2016;B1600227000000;"""O Caseiro""";Julio Santi;Ficção;"""Nexus Cinema""";SP;"""Urano Films""";SP;Europa;61;"""153425.65""";11,856;;;;
2016;B1600094200000;"""O Começo da Vida""";Estela Renner;Documentário;"""Maria Farinha Filmes""";RJ;""" -"""; -;Maria Farinha Filmes;32;"""234170.91""";35,194;;;;
2016;B1600041400000;"""O diabo mora aqui""";Dante Vescio/Rodrigo Gasparini;Ficção;"""Marlucco Visão""";SP;""" -"""; -;Pandora;5;"""18558.64""";1,055;;;;
2016;B1600100300000;"""O Escaravelho do Diabo""";Carlo Milani;Ficção;"""Dezenove Som e Imagens""";SP;"""Globo Filmes/Lereby/Telecine""";RJ/RJ/RJ;Downtown/Paris;363;"""1024437.54""";82,634;;;;
2016;B1600713100000;"""O Filho Eterno""";Paulo Machline;Ficção;"""Camisa Treze Cultural""";SP;"""Globo Filmes/Guel Produtora""";RJ/RJ;Sony;60;"""348365.26""";22,007;;;;
2016;B1402235800000;"""O Gigantesco Imã""";Petrônio Lorena/Tiago Scorza;Documentário;"""Mont Serrat Filmes""";PE;"""Aiuru Filmes/Nosotros & Los Demás Produções Artísticas""";RJ/PE;Inquieta Cultura e Comunicação;6;"""2776""";390;;;;
2016;B1301988900000;"""O Mestre e o Divino""";Tiago Campos;Documentário;"""Vídeo nas Aldeias""";PE;""" -"""; -;Livres Distribuidora;7;"""7703.95""";728;;;;
2016;B1500837400000;"""O Outro Lado do Paraíso""";André Ristum;Ficção;"""Mercado Filmes""";DF;"""Geração Editorial/Sombumbo Filmes/Sincrocine/Telecine/Canal Brasil""";SP/SP/RJ/RJ/RJ;Europa;21;"""94102.19""";7,331;;;;
2016;B1600408200000;"""O Roubo da Taça""";Caito Ortiz;Ficção;"""Prodigo Films""";SP;""" -"""; -;Downtown/Paris;192;"""397360.64""";30,209;;;;
2016;B1600567900000;"""O Shaolin do Sertão""";Halder Gomes;Ficção;"""ATC Entretenimentos""";CE;"""Globo Filmes/Telecine/Maiomidia Comunicação""";RJ/RJ/RJ;Downtown/Paris;187;"""7973943.72""";610,741;;;;
2016;B1500150300000;"""O Signo das Tetas""";Frederico Machado;Ficção;"""Lume Filmes""";MA;""" -"""; -;Lume;6;"""4125.65""";373;;;;
2016;B1600500300000;"""O Silêncio do Céu""";Marco Dutra;Ficção;"""Camisa Treze Cultural""";SP;"""Canal Brasil""";RJ;Vitrine Filmes;25;"""142259.09""";11,236;;;;
2016;B1500452100000;"""O Touro""";Larissa Figueiredo;Documentário;"""Sto Lat Filmes""";PR;""" -"""; -;Cazumbá Filmes;4;"""2635.08""";247;;;;
2016;B1500897000000;"""O Último Virgem""";Felipe Bretas/Rilson Baco;Ficção;"""Patota Produções""";RJ;"""Kliky/Multiphocus Arte & Comunicação/Paramount Pictures Brasil""";RJ/RJ/RJ;Downtown/Paris;340;"""1587433.36""";126,841;;;;
2016;B1600710700000;"""O Vendedor de Sonhos""";Jayme Monjardim;Ficção;"""Filmland Internacional""";SP;""" -"""; -;Warner;418;"""9148088""";673,242;;;;
2016;B1600514100000;"""Olympia 2016""";Rodrigo Mac Niven;Ficção;"""Rodrigo Mac Niven""";RJ;""" -"""; -;Fênix Filmes;3;"""8598.65""";578;;;;
2016;B1600036400000;"""Os dez mandamentos - O filme""";Alexandre Avancini;Ficção;"""Rede Record de Televisão""";SP;""" -"""; -;Downtown/Paris;1,127;"""116833026.88""";11,305,479;;;;
2016;B1402391300000;"""Os Inimigos Da Dor""";Arauco Hernández;Ficção;"""Primo Filmes""";SP;""" -"""; -;Primo Filmes;3;"""3913""";312;;;;
2016;B1600341800000;"""Os Outros""";Sandra Werneck;Documentário;"""Cineluz Produções""";RJ;""" -"""; -;Cineluz Produções;12;"""7139.27""";592;;;;
2016;B1600280100000;"""Os Senhores da Guerra""";Tabajara Ruas;Ficção;"""Walper Ruas Produções""";RS;""" -"""; -;Walper Ruas;18;"""66005.52""";5,197;;;;
2016;B1402524100000;"""Os Sonhos de um Sonhador - A História de Frank Aguiar""";Caco Milano;Ficção;"""Nation Filmes""";SP;"""Caco Milano/Maristela Filmes""";SP/SP;Elite Filmes;7;"""6306.56""";567;;;;
2016;B1600602000000;"""Palmeiras, o Campeão do Século""";Kim Teixeira/Mauro Betting;Documentário;"""Canal Azul""";SP;""" -"""; -;Conexão Cultural;8;"""76393.14""";5,336;;;;
2016;B1500177200000;"""Para Minha Amada Morta""";Aly Muritiba;Ficção;"""Grafo Audiovisual""";PR;""" -"""; -;Vitrine Filmes;35;"""89674.13""";7,153;;;;
2016;B1600358100000;"""Paratodos""";Marcelo Mesquita;Documentário;"""Sala 12""";SP;"""Barry Company""";SP;O2 Play;14;"""38233.51""";3,146;;;;
2016;B1600294100000;"""Paulina""";Santiago Mitre;Ficção;"""Videofilmes""";RJ;""" -"""; -;Esfera Produções;19;"""209170.77""";15,324;;;;
2016;B1600530200000;"""Pequeno Segredo""";David Schurman;Ficção;"""Schurmann Filmes""";SP;"""Ocean Films/Instituto Kat Schurmann""";SC/SC;Diamond Films do Brasil ;259;"""2801967.64""";187,055;;;;
2016;B1600494700000;"""Ponho a Mão no Fogo""";André Amado;Ficção;"""2A Produções""";RJ;""" -"""; -;2A Produções;1;"""320""";59;;;;
2016;B1600264400000;"""Ponto Zero""";José Pedro Goulart;Ficção;"""Mínima""";RS;"""Okna Produções""";RS;Pandora;17;"""115856.26""";8,247;;;;
2016;B1600368700000;"""Porta dos Fundos - Contrato Vitalício""";Ian SBF;Ficção;"""Porta dos Fundos""";RJ;"""Telecine""";RJ;Downtown/Paris;515;"""6208337.13""";454,569;;;;
2016;B1600517400000;"""Precisamos Falar do Assédio""";Paula Sacchetta;Documentário;"""Mira Filmes""";SP;""" -"""; -;Mira Filmes;1;"""2042.63""";241;;;;
2016;B1500399400000;"""Prova de Coragem""";Roberto Gervitz;Ficção;"""M, Schmiedt Produções""";RS;"""Globo Filmes/Maiomidia Comunicação/Telecine""";RJ/RJ/RJ;Europa/Vinny filmes ;60;"""167481.2""";12,147;;;;
2016;B1500562100000;"""Quanto Tempo o Tempo Tem""";Adriana Dutra;Documentário;"""Inffinito""";RJ;""" -"""; -;Infinito Produções;10;"""82195.08""";5,955;;;;
2016;B1600466200000;"""Quem Você Quer Ser Nessa História?""";Felipe Britto/Nelli Sampaio/Rodrigo Van Der Put;Documentário;"""Sant'Ana Filmes""";RJ;""" -"""; -;Sant'Ana Filmes;1;"""3761.76""";319;;;;
2016;B1600017500000;"""Ralé""";Helena Ignez;Ficção;"""Mercúrio Produções""";SP;"""Canal Brasil""";RJ;Pandora;5;"""25006.84""";2,189;;;;
2016;B1500899800000;"""Reza a Lenda""";Homero Olivetto;Ficção;"""Biônica Filmes/Ouro 21""";SP;"""Globo Filmes/Guel Produtora""";RJ/RJ;Imagem;382;"""4979716.42""";377,67;;;;
2016;B1500475400000;"""Rondon, o desbravador""";Marcelo Santiago/Rodrigo Piovezan;Ficção;"""Rondon Produções & Filmes""";MT;"""Movimento Filmes/Canal Brasil""";RJ/RJ;Europa;15;"""23670.4""";2,321;;;;
2016;B1600337700000;"""São Paulo em Hi-Fi""";Lufe Steffen;Documentário;"""Cigano Filmes/Lufe Steffen""";SP;"""Cigano Filmes""";SP;Cigano Filmes;3;"""34655.61""";3,526;;;;
2016;B1500866700000;"""São Sebastião do Rio de Janeiro - A Formação de uma Cidade""";Juliana de Carvalho;Documentário;"""Bang Filmes""";RJ;""" -"""; -;Bang Filmes;6;"""44764.81""";5,08;;;;
2016;B1402254300000;"""Sinfonia da Necrópole""";Juliana Rojas;Ficção;"""Avoa Filmes""";SP;""" -"""; -;Vitrine Filmes;11;"""29250.81""";2,288;;;;
2016;B1600685000000;"""Sob Pressão""";Andrucha Waddington;Ficção;"""Conspiração Filmes""";RJ;"""Globo Filmes/Guel Produtora""";RJ/RJ;H2O Films;76;"""542520.79""";39,237;;;;
2016;B1600603400000;"""Tamo junto""";Matheus Souza;Ficção;"""Zeugma Produções""";RJ;"""RT Features/Bruno Jourdan Blochas/Pedro Vitor Azevedo""";SP;Downtown/Paris;355;"""1028742.48""";84,051;;;;
2016;B1500861900000;"""Teobaldo Morto, Romeu Exilado""";Rodrigo de Oliveira;Ficção;"""Pique-Bandeira Filmes""";ES;"""Rodrigo de Oliveira"""; -;Pique-Bandeira Filmes;3;"""2936""";473;;;;
2016;B1600765000000;"""Teresinha""";Victor Ribeiro;Documentário;"""Paris Entretenimento""";SP;"""Victor Films""";SP;Paris;5;"""20999.47""";1,323;;;;
2016;B1600043800000;"""Tô ryca!""";Pedro Antônio;Ficção;"""Glaz Entretenimento""";RJ;"""Telecine""";RJ;Downtown/Paris;420;"""14835057.9""";1,121,570;;;;
2016;B1500496600000;"""Toro""";Edu Felistoque;Ficção;"""Felistoque Filmes""";SP;"""Canal Brasil/Lucca Comunicação/Estricnina/Kinoosfera Filmes""";RJ/SP/SP/SP;Polifilmes;1;"""660""";105;;;;
2016;B1500269700000;"""Trago comigo""";Tata Amaral;Ficção;"""Tangerina Entretenimento""";SP;"""Primo Filmes/Manjericão Filmes""";SP/SP;Pandora;12;"""36371.93""";3,023;;;;
2016;B1500754900000;"""Travessias""";Salete Paulina Machado Sirino;Ficção;"""Tigre Produções Cinematográficas""";PR;""" -"""; -;Tigre Produções Cinematográficas;9;"""80640.5""";16,132;;;;
2016;B1600083900000;"""Turbulência""";Tiago Venâncio;Ficção;"""Arthur Vinciprova/Tiago Venâncio""";RJ;""" -"""; -;Downtown/Paris;4;"""8447.6""";755;;;;
2016;B1402301100000;"""Um Homem Só""";Cláudia Jouvin;Ficção;"""Giros""";RJ;"""Globo Filmes/Guel Produtora/Telecine""";RJ/RJ/RJ;Downtown/Paris;57;"""59021.39""";4,184;;;;
2016;B1600436900000;"""Um namorado para minha mulher""";Júlia Rezende;Ficção;"""Paris Entretenimento""";SP;"""Globo Filmes/Maiomidia Comunicação""";RJ/RJ;Downtown/Paris;435;"""9028755.59""";665,999;;;;
2016;B1600011000000;"""Um Suburbano Sortudo""";Roberto Santucci;Ficção;"""Camisa Listrada""";RJ;"""Panorama Filmes/Globo Filmes/Maiomidia Comunicação/Telecine""";RJ/RJ/RJ/RJ;Downtown/Paris;472;"""14245429.85""";1,070,434;;;;
2016;B1600305700000;"""Uma Loucura de Mulher""";Marcus Ligocki Júnior;Ficção;"""Ligocki Entretenimento""";DF;"""Telecine""";RJ;Imagem;274;"""1354911.48""";103,351;;;;
2016;B1600067600000;"""Uma Noite em Sampa""";Ugo Giorgetti;Ficção;"""SP Filmes de São Paulo""";SP;"""O Príncipe""";SP;O2 Play;11;"""49131.22""";3,228;;;;
2016;B1500870400000;"""Vai que dá certo 2""";Maurício Farias;Ficção;"""Fraiha Produções""";RJ;"""Guel Produtora""";RJ;Imagem;536;"""12022063.96""";923,426;;;;
2016;B1500489800000;"""Vampiro 40º""";Marcelo Santiago;Ficção;"""Canal Brasil""";RJ;"""Filmes do Equador""";RJ;LC Barreto Filmes;2;"""2919.5""";204;;;;
2016;B1600439700000;"""Vidas Partidas""";Marcos Schetchman;Ficção;"""Voglia Produções""";RJ;"""Guel Produtora""";RJ;Europa;29;"""79485.81""";5,857;;;;
2016;B1500407700000;"""Xingu Cariri Caruaru Carioca""";Beth Formaggini;Documentário;"""4 Ventos Comunicação""";RJ;""" -"""; -;4 Ventos Comunicação;7;"""5888.15""";583;;;;
2016;B1402372200000;"""Yorimatã""";Rafael Saar;Documentário;"""Dilúvio Produções""";RJ;"""Tela Brasilis/Imagem-Tempo""";RJ/RJ;Dilúvio Filmes;5;"""15350.15""";1,912;;;;
2016;B1600019500000;"""Zé de Julião, Muito Além do Cangaço""";Hermano Penna;Documentário;"""Luz XXI""";SP;""" -"""; -;Luz XXI;6;"""2905.88""";196;;;;
2016;B1600036800000;"""Zoom""";Pedro Morelli;Ficção;"""O2 Filmes""";SP;""" -"""; -;Downtown/Paris;97;"""205326.89""";14,139;;;;
2015;B1500311000000;"""#Garotas""";Alex Medeiros;Ficção;"""Accorde Filmes""";RS;"""Alex Medeiros/Rafael Costa"""; -;Downtown/Paris;14;"""13780.08""";969;;;;
2015;B1500723200000;"""5x Chico - O Velho e Sua Gente""";Ana Rieper/Camilo Cavalcante/Eduardo Goldenstein/Eduardo Nunes/Gustavo Spolidoro;Documentário;"""3 Tabela Filmes""";RJ;"""Globo Filmes""";RJ;ArtHouse;8;"""11667.67""";1,149;;;;
2015;B1402159000000;"""A casa de Cecília""";Clarissa Appelt;Ficção;"""Clarissa Appelt""";RJ;""" -"""; -;Clarissa Appelt Baptista San Roman;1;"""1488.55""";142;;;;
2015;B1500554400000;"""A esperança é a última que morre""";Calvito Leal;Ficção;"""Mpc Filmes""";RJ;"""Telecine""";RJ;Downtown/Paris;150;"""1427955.29""";107,59;;;;
2015;B1402125800000;"""A Estrada 47""";Vicente Ferraz;Ficção;"""Três Mundos Produções""";RJ;"""Primo Filmes""";SP;Europa;52;"""439151.77""";34,358;;;;
2015;B1500591500000;"""A Floresta que se Move""";Vinícius Coimbra;Ficção;"""Globo Filmes""";RJ;"""EH! Filmes/Telecine""";RJ/RJ;Vinny filmes ;49;"""110064.97""";8,581;;;;
2015;B1402133800000;"""A História da Eternidade""";Camilo Cavalcante;Ficção;"""AC Cavalcante Serviços""";PE;"""República Pureza Filmes/Canal Brasil""";RJ/RJ;ArtHouse;12;"""114221.88""";13,061;;;;
2015;B1201643000000;"""A hora e a vez de Augusto Matraga""";Vinícius Coimbra;Ficção;"""Prodigo Films""";SP;""" -"""; -;Nossa Distribuidora;15;"""34440.19""";2,499;;;;
2015;B1402730900000;"""A Lei da Água""";André Vilela D'Elia;Documentário;"""Cinedelia""";SP;"""O2 Fillmes""";SP;O2 Play;9;"""35167.27""";1,645;;;;
2015;B1500105700000;"""A Nação que não Esperou por Deus""";Lucia Murat/Rodrigo Hinrichsen;Documentário;"""Taiga Filmes e Vídeo""";RJ;""" -"""; -;Vitrine Filmes;7;"""12119.59""";1,472;;;;
2015;B1500265900000;"""A Viagem de Yoani""";Peppe Siffredi/Raphael Bottino;Documentário;"""Sala 12""";SP;"""Tornado Filmes""";SP;Elo Company;9;"""17409.62""";1,001;;;;
2015;B1402781000000;"""A Vida Privada dos Hipopótamos""";Maíra Bühler/Matias Mariani;Documentário;"""Primo Filmes""";SP;""" -"""; -;Vitrine Filmes;11;"""12534.3""";1,674;;;;
2015;B1001197000000;"""Alucinados""";Roberto Santucci;Ficção;"""Panorama Filmes""";RJ;""" -"""; -;Downtown;2;"""1383.85""";115;;;;
2015;B1402446800000;"""Amor, Plástico e Barulho""";Renata Pinheiro;Ficção;"""Aroma Filmes""";PE;"""Canal Brasil""";RJ;Boulevard Filmes;12;"""32087.71""";5,665;;;;
2015;B1402543600000;"""Anna K,""";José Roberto Aguilar;Ficção;"""Preta Portê Filmes""";SP;"""Canal Brasil""";RJ;Preta Portê Filmes;6;"""10008.88""";719;;;;
2015;B1402089600000;"""Aprendi a Jogar com Você""";Murilo Salles;Documentário;"""Cinema Brasil Digital""";RJ;""" -"""; -;Nossa Distribuidora;7;"""704""";49;;;;
2015;B1500713000000;"""Aqui Deste Lugar""";Fernando Coimbra/Sérgio Machado;Documentário;"""Gullane""";SP;"""Janela do Mundo""";BA;Gullane Entretenimento;1;"""2161""";153;;;;
2015;B1402219600000;"""Até que a casa caia""";Mauro Giuntini;Ficção;"""Plateau Filmes""";DF;"""Luciana Teixeira/Casa Forte Produções Artísticas"""; -/RJ;Polifilmes/Plateau Filmes;11;"""13902.03""";1,347;;;;
2015;B1500904200000;"""Até que a sorte nos separe 3""";Marcelo Antunez/Roberto Santucci;Ficção;"""Gullane""";SP;""" -"""; -;Downtown/Paris;819;"""42262993.62""";3,335,667;;;;
2015;B1500451800000;"""Ato, atalho e vento""";Marcelo Masagão;Documentário;"""Um Minuto""";SP;""" -"""; -;Agência Observatório;2;"""11879.24""";722;;;;
2015;B1500801000000;"""Através""";André Michiles/Diogo Martins/Fabio Bardella;Ficção;"""Estrangeira Filmes""";SP;"""Haikai Filmes""";SP;Estrangeira Filmes;3;"""5949""";505;;;;
2015;B1500276200000;"""Ausência""";Chico Teixeira;Ficção;"""Bossa Nova Films""";SP;"""G,T Produções Cinematográficas/Anhangabau Produções""";SP/SP;Imovision;11;"""53501.93""";4,03;;;;
2015;B1402718400000;"""Batguano""";Tavinho Teixeira;Ficção;"""Vermelho Profundo/Tavinho Teixeira""";PB;""" -"""; -;Vermelho Profundo;2;"""2804""";294;;;;
2015;B1402710300000;"""Beira-mar""";Filipe Matzembacher/Marcio Reolon;Ficção;"""Avante Filmes""";RS;""" -"""; -;Vitrine Filmes;27;"""141932.14""";11,206;;;;
2015;B1500840400000;"""Bem Casados""";Aluizio Abranches;Ficção;"""Hare Filmes""";RJ;""" -"""; -;Imagem;445;"""6940418.06""";545,829;;;;
2015;B1500712100000;"""Betinho - A Esperança Equilibrista""";Victor Lopes;Documentário;"""Documenta Filmes""";RJ;"""Globo Filmes""";RJ;Elo Company;12;"""32770.33""";2,152;;;;
2015;B1402653000000;"""Branco Sai Preto Fica""";Adirley Queirós;Ficção;"""Cinco da Norte Cine""";DF;""" -"""; -;Vitrine Filmes;20;"""213293.63""";19,13;;;;
2015;B1500340300000;"""Califórnia""";Marina Person;Ficção;"""Lauper Films""";SP;"""Mira Filmes""";SP;Vitrine Filmes;25;"""192329.74""";13,849;;;;
2015;B1500315900000;"""Caminho de volta""";José Joffily/Pedro Rossi;Documentário;"""Coevo Filmes""";RJ;"""Canal Brasil""";RJ;Vilacine;4;"""8280.5""";809;;;;
2015;B1402391100000;"""Campo de Jogo""";Eryk Rocha;Documentário;"""Aruac Produções/Filmegraph""";RJ/MG;""" -"""; -;Tucumán;9;"""28511.88""";2,279;;;;
2015;B1500453100000;"""Carrossel - O Filme""";Alexandre Boury/Mauricio Eça;Ficção;"""Paris Entretenimento""";RJ;""" -"""; -;Downtown/Paris;616;"""27221239.28""";2,537,628;;;;
2015;B1402131600000;"""Casa Grande""";Fellipe Gamarano Barbosa;Ficção;"""Migdal Filmes""";RJ;"""Gamarosa/Guiza Produções Audiovisuais""";RJ/RJ;Film Connection/Imovision;33;"""524262.14""";38,075;;;;
2015;B1500018400000;"""Cássia Eller""";Paulo Henrique Fontenelle;Documentário;"""Migdal Filmes""";RJ;"""Globosat""";RJ;H2O Films;47;"""952434.35""";75,133;;;;
2015;B1402144900000;"""Cativas - presas pelo coração""";Joana Nin;Documentário;"""Sambaqui Cultural""";PR;"""Globosat/Horizonte""";RJ/RJ;Moro Comunicação;3;"""19550.5""";1,999;;;;
2015;B1402259600000;"""Cauby - Começaria Tudo Outra Vez""";Nelson Hoineff;Documentário;"""Comalt - Comunicação Alternativa""";RJ;"""Canal Brasil""";RJ;Comalt;14;"""87099.19""";7,418;;;;
2015;B1001208900000;"""Chatô - O Rei do Brasil""";Guilherme Fontes;Ficção;"""Guilherme Fontes Filmes""";RJ;""" -"""; -;Milocos Entretenimento;51;"""1001282.58""";67,061;;;;
2015;B1500777500000;"""Chico - Artista Brasileiro""";Miguel Faria Jr,;Documentário;"""1001 Filmes""";RJ;"""Globo Filmes""";RJ;Sony;52;"""1904190.24""";126,376;;;;
2015;B1402144800000;"""Cidade de Deus, 10 Anos Depois""";Cavi Borges/Luciano Vidigal;Documentário;"""Berny Filmes/Cavideo Produções""";RJ;""" -"""; -;Livres Distribuidora;24;"""31770.34""";3,633;;;;
2015;B1500743500000;"""Circo Voador - A Nave""";Tainá Menezes;Documentário;"""ACASA/Kanoa Filmes""";RJ;""" -"""; -;Cine Santa Teresa;8;"""12223.5""";948;;;;
2015;B1500399800000;"""Condado Macabro""";André de Campos Mello/Marcos DeBrito;Ficção;"""DeBrito Produções Cinematográficas""";SP;""" -"""; -;Elite Filmes;3;"""6695.92""";523;;;;
2015;B1500671700000;"""Damas do samba""";Susanna Lira;Documentário;"""Modo Operante Produções""";RJ;"""EBC TV Brasil""";RJ;Elo Company;9;"""7772.36""";716;;;;
2015;B1402209700000;"""De Gravata e Unha Vermelha""";Miriam Chnaiderman;Documentário;"""Sequência 1""";SP;""" -"""; -;Imovision;5;"""49546.21""";3,548;;;;
2015;B1402082600000;"""Depois da Chuva""";Cláudio Marques/Marilia Hughes Guerreiro;Ficção;"""Coisa de Cinema""";BA;""" -"""; -;Espaço Filmes ;14;"""185152.29""";16,247;;;;
2015;B1500344400000;"""Depois de Tudo""";Johnny Araújo;Ficção;"""Casé Filmes""";RJ;"""Rio MS - Produções Artísticas/MRP Produções Culturais/Rinoceronte Produções""";RJ/SP/RJ;Imagem;141;"""282661.93""";21,768;;;;
2015;B1500335800000;"""Divã a 2""";Paulo Fontenelle;Ficção;"""Total Entertainment""";RJ;"""Telecine/Ítaca Films""";RJ/RJ;Downtown/Paris;315;"""1982583.38""";164,589;;;;
2015;B1402480100000;"""Dois Casamentos""";Luiz Rosemberg Filho;Ficção;"""Cavideo Produções""";RJ;"""Canal Brasil""";RJ;Livres Distribuidora;2;"""4536.42""";380;;;;
2015;B1500422800000;"""Dromedário no Asfalto""";Gilson Vargas;Ficção;"""Pata Negra""";RS;"""BoomBoom/Ponto Cego""";RS/RS;Lança Filmes;7;"""26107.01""";2,29;;;;
2015;B1402117400000;"""Eduardo Coutinho, 7 de Outubro""";Carlos Nader;Documentário;"""Sesc""";SP;""" -"""; -;Sesc ;6;"""8884.83""";587;;;;
2015;B1500818400000;"""Em Três Atos""";Lucia Murat;Ficção;"""Taiga Filmes e Vídeo""";RJ;""" -"""; -;Imovision;7;"""30777.17""";2,096;;;;
2015;B1500558500000;"""Entrando numa roubada""";André Moraes;Ficção;"""Urca Filmes""";RJ;"""Aquarela/Mistika""";DF/SP;Europa;240;"""1654741.76""";131,22;;;;
2015;B1500183700000;"""Entre Abelhas""";Ian SBF;Ficção;"""Mixer Films""";RJ;"""Globo Filmes""";RJ;Imagem;342;"""5738814.7""";438,782;;;;
2015;B1402246600000;"""Estranhos""";Paulo Alcântara;Ficção;"""Araçá Azul Cinema e Vídeo""";BA;""" -"""; -;Araçá Azul;1;"""5338.5""";427;;;;
2015;B1302013600000;"""Eu nunca""";Kauê Telloli;Ficção;"""Saliva Shots""";SP;"""Kaue TK Produções""";SP;Elo Company;3;"""5970.38""";491;;;;
2015;B1101456300000;"""Fala Sério!""";Augusto Sevá;Ficção;"""Albatroz Cinematográfica""";SP;""" -"""; -;Raiz Filmes;2;"""4028""";499;;;;
